title,artist,winner,year,lyrics
God knows you seen a time or two
And what you been through
Just tears me apart
So much evil in such a beautiful heart
Some things just don't make sense
And sometimes I get lost
Inside the pretense
I know I wasn't there for the beginning
But I hope one day you find an end
And if you ever need me
Along the way
You can trust that you’ll always find a friend
‘Cause there's not enough heartache to break up
My personal wake up
Take up enough of your time as is
And I apologize
I never meant to do so
[Chorus]
And it’s me and you
And sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

And sometimes
It’s me and you
And sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

[Verse 3]
She built a bridge
It falls down
Down into her green room
Walls sound-ing
Like angels crying
Dying
One at a time
Overwhelming beauty
And it covers my mind
Sometimes
I wish you could just love me
As selfish as it is
I guess I'm still just a kid
I guess you're still just a kid
It's funny how we try and justify it by saying it would be too perfect
Like we don't deserve to be happy
And maybe I don't but I hope
You find smiles again
And I know there's a lot with him
That I just can't touch
But I promise you
No one in this world will ever love you like I do
Nobody
Damn it ‘till the sun burns the sky
And every single falling star drys my eyes and
Kills my insides
Death becomes me
A world less lovely
Hug me and never stop
‘cause every time we break apart
I feel my heart-
Ache
Break
Take a moment and mistake
Myself for something better than him
And I give in every time
You touch me
Kiss me
And love me
And I don't want to be alone
And I wouldn't be
If you would just come home
Just come home ‘cause
I don't wanna be alone
Just come home so
I don't got to be alone
My bed's too big
My heart's too small
And every time we build
A bridge
It falls
Every time we build
A bridge
It falls
Bridget falls
[Chorus]
It’s me and you
And sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

And sometimes
It’s me and you
And sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

And sometimes
It’s me and you
And sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

And sometimes
It’s me and you
And sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

And sometimes
It’s me and you
And sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

[Outro]
Sometimes
It’s me and you
Sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

Sometimes
It’s me and you
Sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

Sometimes
It’s me and you
Sometimes
It’s you and him
And everything just
Sits in between
Everything just
Sits in between

Every fucking thing
Everything
Just sits in between
Everything
Just sits in between
Everything
Just sits in betweenEmbed"
I Will Always Love You,Whitney Houston,1,1993,"TranslationsΕλληνικάI Will Always Love You Lyrics[Intro]
If I should stay
I would only be in your way
So I'll go, but I know
I'll think of you every step of the way

[Chorus]
And I
Will always love you, ooh, I
Will always love you, you

[Post-Chorus]
You, my darling, you, mm

[Verse 1]
Bittersweet memories
That is all I'm taking with me
So goodbye, please don't cry
We both know I'm not what you, you need

[Chorus]
And I, I
Will always love you, ooh, I
Will always love you, you

[Instrumental Break]
You might also like[Verse 2]
I hope life treats you kind
And I hope you have all you've dreamed of
And I'm wishing you joy and happiness
But above all this, I wish you love
[Chorus]
And I, I
Will always love you, ooh
I will always love you
I will always love you, ooh
I will always love you, ooh
I will always love you, ooh
I will always love you, ooh
I, I will always love you

[Outro]
You, darling, I love you
Ooh, I'll always, I'll always love you80Embed"
The River Of Dreams (Single),Billy Joel,0,1993,"A Dance with Death Lyrics[Verse 1: Lil Squeaky]
Ay, ay, ay, ay
Yo, what's death? Never heard of her
They say time is a murderer
And I'm inclined to agree
But you niggas think a college degree is gonna you immortality
Like nah, every time I look at the clock
I can't help but lock eyes with the grim reaper
At the moment you might keep her on the wall
But soon enough she's gonna creep up and take me under
And fly me over, I don't know what the hell I'm suppose to do
Paint my life with a different colored huе
And it's still a mix of dull reds and blues
Can you get a cluе?
The whole earth is a ticking time bomb
Hoping to get the time to go call up my mom
Let bygones be bygones
Move on, get your groove on
Put the devil's own hooves on
Old head now, go and get your old youth on
Need a coupon to go and put more juice on refrigerator shelves
You can make big use of, but it's too much to really even do much
Clocks ticking bitch, pass me a hookah
Last thing I wanna do is go out a loser
Much more than a internet user
Just want to be an all around good human
Streets never been the same every since tooka
Kids just going around spreading rumors
I can not just notice a single second that's too much
Go and get a life instead of camping out at hooters
Flex gang, the superior recruiters
But I still feel like too much time is used up
When I'm used up, gotta control my passion
The mic's on fire, gotta pass it, I'm ashen (ay)
You might also like[Verse 2: Big Baller B]
I'm in the whip and I'm on the patrol
Taking over the game is my main goal
Flex Entertainment is on a roll
Everyone knows Beetlebat's in her hole
Pass through the gates bitch, I ain't pay tolls
Ain't got time to waste bitch, I got goals
And they want to say that I can't make it
I already did, my bitch walks around the house naked
Dropped out of college too quick, they say
Maybe I just had to be quick, ok
Because the sun is up and I'm about to come up
Who's this that I shouldn't make hate, ay
I ain't got time, Lil Squeaky
Death is coming up too sneaky, and it's trying to reach me
Fuck everyone who's trying to teach me
Bitch you preachy and I be richer than ever
But it don't mean shit because my mind is too damn clever
And I know this shit is gonna not mean nothing
So you know I'm gonna die stuntin', the game I'm running
Plus I got it out the ass, and I'm running too fast
So you know I got to make cash bitch
Before I crash, I do the dash
Yeah, Lil Squeaky, he rapping too damn fast so he might as well steal it

[Verse 3: Lil Squeaky]
Ok, we so might as well stop fucking around just to fuck around more
Maybe let the fuck up before you shove it down your throats
You don't focus on those who don't want you to be shit
They can't see shit, got no brain for brain freezing
All the guys are just drinks for squeezing
Wanna waste your time for no god damn reason
And I couldn't see through the lenses of God but I see it now
Doing good hanging in a ripe [?]
Wish you luck and I don't give a fuck about the risk
Feel like Jesus, skipping across the water like I'm throwing pebble on the lake
Need to take a break, go over by the river of dreams
I mean this shit is not what it seems
I'm confused by what I'm doing and by what is worth
But I ain't got time to waste here on earth
The day that I step out my house for the last damn time
Give it everything I got to my last damn life man
[Chorus: Lil Squeaky]
Can't stop me, feel like the best version of me
Better than the rest, you can't trust me
If you just respect me, it'll lose to see
On this cruise of a lifetime, there's a river of wine
That's like the blood flowing through my heart to my palms
I ain't ever giving up, by the end of the song
It's the beginning, beginning of a life long dance with death

[Verse 4: Lil Squeaky]
All the time
Been thinking about all the lies been winding away too fast
And I got no reason to keep on believing
Except it just feels so right
Now those who came before you
The reason I implore you
Just keep on doing more to prove the whole world wrong
'Cause I know, oh-oh
'Cause I know, oh-oh, there's no time to waste
Gotta keep up with the pace
Take your ankle bracelets off

[Bridge: Lil Squeaky]
Run free
Run free
Run free
Run free (running, running, running, I'm running away)
[Chorus: Lil Squeaky]
Can't stop me, feel like the best version of me
Better than the rest, you can't trust me
If you just respect me, it'll lose to see
On this cruise of a lifetime, there's a river of wine
That's like the blood flowing through my heart to my palms
I ain't ever giving up, by the end of the song
It's the beginning, beginning of a life long dance with death
Can't stop me, feel like the best version of me (run free)
Better than the rest, you can't trust me (run free)
If you just respect me, it'll lose to see
On this cruise of a lifetime, there's a river of wine (run free)
That's like the blood flowing through my heart to my palms
I ain't ever giving up, by the end of the song (run free)
It's the beginning, beginning of a life long dance with deathEmbed"
If I Ever Lose My Faith In You (Single),Sting,0,1993,"Sorrow (syrup rmx) LyricsYea
Uh huh
Abstract Art
First thing we putting out this shit 2015
Recorded this shit in my nigga's basement
@ORBT music
If you have checked this shit out yet
We ain't make a dime off this shit
It's all free
I swear to god
Lets get into it

Lord...
Said all I got is my pain
Come watch me drown in my sorrows
I'm petrified of today
And I pray I don't wake tomorrow

Cuz all I got is my pain
Come watch me drown in my sorrows
I'm petrified of today
And I pray I don't wake tomorrow

And I just hope the lord forgive me for my sins
Cuz I'm back to medicating all my issues once again
Once again
You might also likeAll I got is my pain
Come watch me drown in my sorrows
I'm petrified of today
And I pray that I don't wake tomorrow

I blow your mind with these rhymes
I paint a picture with words
My inspiration is agony
Tell me that ain't absurd

Try to break it with the flow, make a mothafucka feel it
Nigga either way you cut it, could you really tell the difference?
I would never try to be somebody they consider phony or fake
Go take another nigga's style then recreate it
No fabrication
Or exaggeration
My imagination
Been infatuated
With the other side
But my maturation
Wasn't comfortable
I left lacerations
On both wrists, on my sleeve stain
When that blood drip, I wasn't fascinated
With the facts of life
But I was terrified of my isolation
Man lately
I've been feeling down and out so proceed with caution
Cuz a nigga like me got used to losses
I've been living in a world that's imaginary
And I wonder is the realism necessary
Just had a premonition of a cemetery
And a grave plot with my name on it
I'ma treat it like a motherfuckin reservation
But the way that I've been living
It's the confirmation

Played the game and lost;
No consolation
Let a young nigga preach to the congregation
I'ma tell the truth on my pure pew
It might take a minute
Done a lot of sinnin
Never had a friendship, I was contemplating
Suicidal thoughts up on the fucking daily
And it manifested into my depression
Netted to my problems as an adolescent
Goddamn!

Gimme a second to set the scene
So to finally understand what the fuck I really mean
In a world full of hate you desecrated my dream
Realize they could never understand me demanding about an ounce of respect
To attest to the fact that I'm finally coming into my own
With a moment to atone
Tell em all that I murdered a microphone
With a story that was talking
To the minuscule minds of the masses, wasn't even ready for the bass
Or the motherfucking master
The young lyrical phenom
The master got a beating, I suffocated, I breathe on
I'm looking for a god damn reason
But I'm barely alive
I comprise the bereavement
And when a nigga in it I spit it with cohesion
The medicated mind of a mothafucken heathen
Hes down to the ground and nobody believes him
I wonder if I'll ever lose faith in the process
Don't, motherfucker try and focus on the progress
A low self esteem can easily impede on the mind of a person that's working to proceed
Elevated to a level that no one has ever seen
And my mind ain't right I can never stay sober
Negative attitude when I feel like it's all over
I came in the world with a question, but I was never given the courtesy of an answer
Instead I was left with, a soul full of hate, you could see it in my eyes
All I wanted was the love that I was deprived of, that was pushed to the side
With any type of compassion you wouldn't give a fuck if a nigga wasn't rapping
You're young and you're black
They see you as a distraction
We're all slaves on the inside
Even though you want to think that you're free
Please never believe it

Damn
Yeah, Uh-huh
All I got is my pain
Come watch me drown in my sorrows
I'm petrified of today
I pray I don't wake tomorrow
Yeah, Uh-huh, Look, Yeah
And I just hope the lord forgive me for my sins
Back to medicating every single issue once again
Nigga
All I got is my pain
Watch me drown in my sorrows
Petrified of today
I pray I don't wake tomorrow
Lord...5Embed"
